,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
5313,False,/cUkpSTVt0iUbIVFDxvUGs747OMW.jpg,"['Comedy', 'Thriller']",480001,en,The Art of Self-Defense,"Casey is attacked at random on the street and enlists in a local dojo led by a charismatic and mysterious Sensei in an effort to learn how to defend himself. What he uncovers is a sinister world of fraternity, violence and hypermasculinity and a woman fighting for her place in it.",18.274,/bTq793Qwl3tCXb94zrDPAwppbsC.jpg,2019-07-12,The Art of Self-Defense,False,6.581,731
5314,False,/3haw0ndhE0MihQHvyIbU9etWpoN.jpg,"['Horror', 'Comedy', 'Thriller']",253306,en,Housebound,"When Kylie Bucknell is sentenced to home detention, she's forced to come to terms with her unsociable behaviour, her blabbering mother and a hostile spirit who seems less than happy about the new living arrangement.",10.903,/jPKEeHmUuoDnIaRs6VUqSr4qRGR.jpg,2014-09-04,Housebound,False,6.581,842
5315,False,/6Dm3hMRAFJqMS9wGkCY14XbZFrm.jpg,"['Crime', 'Mystery', 'Thriller']",27958,en,Cruising,"When New York is caught in the grip of a sadistic serial killer who preys on patrons of the city's underground bars, young rookie Steve Burns infiltrates the S&M subculture to try and lure him out of the shadows.",20.887,/bb9CND0WyfwdHOZY5XmP4Qn8taz.jpg,1980-02-15,Cruising,False,6.6,541
5316,False,/kIZzOU6ZSbcyejTK0c5BBeF3YfD.jpg,"['Fantasy', 'Action', 'Thriller']",834,en,Underworld: Evolution,"As the war between the vampires and the Lycans rages on, Selene, a former member of the Death Dealers (an elite vampire special forces unit that hunts werewolves), and Michael, the werewolf hybrid, work together in an effort to unlock the secrets of their respective bloodlines.",33.77,/yT1EDKhCzAumcZeBoAxqm0nY2H8.jpg,2006-01-12,Underworld: Evolution,False,6.6,4037
5317,False,/4TBugvWwlJUGgLAfzLq0CBJmeog.jpg,"['Comedy', 'Drama', 'Romance']",206408,fr,Casse-Tête Chinois,"Xavier is a 40-year-old father of two who still finds life very complicated. When the mother of his children moves to New York, he can't bear them growing up far away from him and so he decides to move there as well.",11.293,/urOhy4mkGTcRHjXBotanF6zyBJw.jpg,2013-12-04,Chinese Puzzle,False,6.58,685
5318,False,/tAi9xQKBgYJVkBTfAtZ0OHEaXfb.jpg,"['Horror', 'Mystery', 'Crime', 'Thriller']",38410,en,The Poughkeepsie Tapes,"When hundreds of videotapes showing torture, murder and dismemberment are found in an abandoned house, they reveal a serial killer's decade-long reign of terror and become the most disturbing collection of evidence homicide detectives have ever seen.",28.294,/8ppkhu3pO3fnXr05YeE7ryKloVd.jpg,2007-04-27,The Poughkeepsie Tapes,False,6.58,635
5319,False,/sHHtfylgVd5A1pjBxKEPksF6eTC.jpg,"['Drama', 'Western', 'Crime']",12690,en,Appaloosa,Two friends hired to police a small town that is suffering under the rule of a rancher find their job complicated by the arrival of a young widow.,11.741,/qLLUC8QaNx4BK1Vuf7XqSyd8icX.jpg,2008-09-19,Appaloosa,False,6.581,997
5320,False,/bwS2YrIMJp7yAb8RhuLkNVMLeyY.jpg,"['Drama', 'Romance']",4958,en,The Legend of Bagger Vance,"World War I has left golfer Rannulph Junuh a poker-playing alcoholic, his perfect swing gone. Now, however, he needs to get it back to play in a tournament to save the financially ravaged golf course of a long-ago sweetheart. Help arrives in the form of mysterious caddy Bagger Vance.",16.033,/fsvWRwcE8bD7WHo7BeF8HqWLbIh.jpg,2000-11-02,The Legend of Bagger Vance,False,6.6,901
5321,False,/42peqRwvHPIvl4gZWBa2X9xZ67T.jpg,"['Crime', 'Drama', 'Thriller']",4413,en,The Brave One,A woman struggles to recover from a brutal attack by setting out on a mission for revenge.,15.363,/tdbOFY9ZnmOcxbNThJqGaIGCOow.jpg,2007-09-12,The Brave One,False,6.6,971
5322,False,/isihZ8cM9nr5JGNn8yU9l7yYxN3.jpg,"['Comedy', 'Family']",967585,fr,Alibi.com 2,"After closing his agency Alibi.com and promising Flo that he would never lie to her again, Greg's new life became quiet, too quiet... Not for long! When he decides to propose to Flo, Greg is up against the wall and has to introduce his family. But with his crooked father and his ex-charm actress mother, this could ruin his future union. He has no choice but to reopen his agency with his former accomplices for an ultimate Alibi and to find more presentable fake parents.",14.366,/hiMcN5jpDEeT1ZytPuNwad7XxBE.jpg,2023-02-08,Alibi.com 2,False,6.6,420
